URL,Status Code,Indexable,Reason,Meta Robots,Canonical
https://www.atlascopco.com/en-us/compressors/service/air-compressor-training,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/service/air-compressor-training
https://www.atlascopco.com/en-us/compressors/service/aftermarket-turbomachinery/am-breakdown-repair-service,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/service/aftermarket-turbomachinery/am-breakdown-repair-service
https://www.atlascopco.com/en-us/compressors/service/aftermarket-turbomachinery/oda-analysis,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/service/aftermarket-turbomachinery/oda-analysis
https://www.atlascopco.com/en-us/compressors/service/aftermarket-turbomachinery/am-erection-and-commissioning,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/service/aftermarket-turbomachinery/am-erection-and-commissioning
https://www.atlascopco.com/en-us/compressors/products/air-compressor,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor
https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/lfx-compact-piston,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/lfx-compact-piston
https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/lz-premium,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/lz-premium
https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/lf-industrial-piston,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/lf-industrial-piston
https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/zp-pet-bottle-compressor,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/zp-pet-bottle-compressor
https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/sf-and-sf-plus,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/sf-and-sf-plus
